_id,user_id,created_by,partner_id,amount,raw_payee,is_debit,is_upi,is_merchant,txn_type,closing_balance,opening_balance,bank_txn_id,nodal_account_provider,brand_name,payee_address,payee_name,payee_merchant_code,currency_code,user_remarks,request_status,updated_at,created_at,txn_status,is_credit,is_credit_offer,id,data,place,total_members_present,count,total_members_now,date,utility_type,action,is_repayment,bank_payment_id,is_created_by_programmatic_user,txn_failure_reason,completed_at,is_repayment_reversal,is_subscription_fee,bank_txn_statuses,cust_ref_id,txn_ref_id,is_vir_addr,payment_mode,is_bank_transfer,is_imps,bank_account_number,ifsc_code,bank_account_id,bank_transfer_cms_ref,bank_transfer_core_ref,bank_transfer_cust_ref,payer_name,is_neft,coordinates,is_person,payer_address,location,created_at_time,created_date,created_month,created_year
5d831d1b6eb117fd9579ec15,5d81d49a22d796f5e65b93b8,5d81d49a22d796f5e65b93b8,5d4421722b3dc03043dead1e,1.0,test@mypsp,True,True,True,PAYMENT,4997.0,4998.0,IDFKBACBDC6BF5EEB4061BE8F7D366189F2,IDFC,AllianceFranche,test@mypsp,Narayanan,8931.0,INR,pa,COMPLETED,2019-09-19 06:25:34.590,2019-09-19 06:15:55.813,REJECT,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,2019-09-19 06:15:55.813,2019-09-19,9,2019
5d88bde004c8316d45ddeae1,5d88bde004c8316d45ddeade,5d88bde004c8316d45ddeade,5d4421722b3dc03043dead1e,5000.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,LOAN_ACCOUNT_CREATION,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,not_avlbl,not_avlbl,COMPLETED,2019-09-23 12:43:12.756,2019-09-23 12:43:12.756,not_avlbl,True,True,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,2019-09-23 12:43:12.756,2019-09-23,9,2019
5d89e03204c8316d45ddeb84,5d89e02f04c8316d45ddeb81,5d89e02f04c8316d45ddeb81,5d4421722b3dc03043dead1e,5000.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,LOAN_ACCOUNT_CREATION,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,not_avlbl,not_avlbl,COMPLETED,2019-09-24 09:21:54.114,2019-09-24 09:21:54.114,not_avlbl,True,True,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,2019-09-24 09:21:54.114,2019-09-24,9,2019
5d89e03604c8316d45ddeb8c,5d89e03404c8316d45ddeb89,5d89e03404c8316d45ddeb89,5d4421722b3dc03043dead1e,5000.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,LOAN_ACCOUNT_CREATION,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,not_avlbl,not_avlbl,COMPLETED,2019-09-24 09:21:58.586,2019-09-24 09:21:58.586,not_avlbl,True,True,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,2019-09-24 09:21:58.586,2019-09-24,9,2019
5d89e06304c8316d45ddebdc,5d89e06104c8316d45ddebd9,5d89e06104c8316d45ddebd9,5d4421722b3dc03043dead1e,5000.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,LOAN_ACCOUNT_CREATION,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,not_avlbl,not_avlbl,COMPLETED,2019-09-24 09:22:43.914,2019-09-24 09:22:43.914,not_avlbl,True,True,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,2019-09-24 09:22:43.914,2019-09-24,9,2019
5d89e08c04c8316d45ddec24,5d89e08a04c8316d45ddec21,5d89e08a04c8316d45ddec21,5d4421722b3dc03043dead1e,5000.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,LOAN_ACCOUNT_CREATION,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,not_avlbl,not_avlbl,COMPLETED,2019-09-24 09:23:24.370,2019-09-24 09:23:24.370,not_avlbl,True,True,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,2019-09-24 09:23:24.370,2019-09-24,9,2019
5d89e0a504c8316d45ddec50,5d89e0a304c8316d45ddec4d,5d89e0a304c8316d45ddec4d,5d4421722b3dc03043dead1e,5000.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,LOAN_ACCOUNT_CREATION,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,not_avlbl,not_avlbl,COMPLETED,2019-09-24 09:23:49.116,2019-09-24 09:23:49.116,not_avlbl,True,True,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,2019-09-24 09:23:49.116,2019-09-24,9,2019
5d89e0c904c8316d45ddec8c,5d89e0c704c8316d45ddec89,5d89e0c704c8316d45ddec89,5d4421722b3dc03043dead1e,5000.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,LOAN_ACCOUNT_CREATION,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,not_avlbl,not_avlbl,COMPLETED,2019-09-24 09:24:25.903,2019-09-24 09:24:25.903,not_avlbl,True,True,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,2019-09-24 09:24:25.903,2019-09-24,9,2019
5d9c32963968e7e98b8d3bbe,ObjectId('5d9c31bf4bd8de7ad99370fb'),ObjectId('5d9c31bf4bd8de7ad99370fb'),ObjectId('5d918fbff38e3035804cf153'),86.0,test@mypsp,True,True,True,PAYMENT,4675.0,4761.0,IDFKB6c0983fde99811e9967ee4f89c9d062a,IDFC,AllianceFranche,test@mypsp,Narayanan,8931.0,INR,pa,COMPLETED,2019-06-06 00:00:00.100,2019-06-06 00:00:00.100,SUCCESS,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,2019-06-06 00:00:00.100,2019-06-06,6,2019
5d9c32963968e7e98b8d3bc3,ObjectId('5d9c31bf4bd8de7ad99370fb'),ObjectId('5d9c31bf4bd8de7ad99370fb'),ObjectId('5d918fbff38e3035804cf153'),89.0,test@mypsp,True,True,True,PAYMENT,4426.0,4515.0,IDFKB6c098402e99811e9967ee4f89c9d062a,IDFC,AllianceFranche,test@mypsp,Narayanan,8931.0,INR,pa,COMPLETED,2019-06-11 00:00:00.100,2019-06-11 00:00:00.100,SUCCESS,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,2019-06-11 00:00:00.100,2019-06-11,6,2019
5d9c32963968e7e98b8d3bcd,ObjectId('5d9c31bf4bd8de7ad99370fb'),ObjectId('5d9c31bf4bd8de7ad99370fb'),ObjectId('5d918fbff38e3035804cf153'),92.0,test@mypsp,True,True,True,PAYMENT,3983.0,4075.0,IDFKB6c09840ce99811e9967ee4f89c9d062a,IDFC,AllianceFranche,test@mypsp,Narayanan,8931.0,INR,pa,COMPLETED,2019-06-21 00:00:00.100,2019-06-21 00:00:00.100,SUCCESS,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,2019-06-21 00:00:00.100,2019-06-21,6,2019
5d9c32963968e7e98b8d3bd0,ObjectId('5d9c31bf4bd8de7ad99370fb'),ObjectId('5d9c31bf4bd8de7ad99370fb'),ObjectId('5d918fbff38e3035804cf153'),91.0,test@mypsp,True,True,True,PAYMENT,3742.0,3833.0,IDFKB6c09840fe99811e9967ee4f89c9d062a,IDFC,AllianceFranche,test@mypsp,Narayanan,8931.0,INR,pa,COMPLETED,2019-06-24 00:00:00.100,2019-06-24 00:00:00.100,SUCCESS,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,0.0,0.0,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,not_avlbl,2019-06-24 00:00:00.100,2019-06-24,6,2019
